Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Sohail Tanvir,43265,4,0,39,1,9.75,0,0,0
Aamer Yamin,434429,4,0,28,1,7.00,2,0,0
Sunil Narine,230558,4,0,28,1,7.00,1,0,0
Ghulam Mudassar,938937,2,0,23,0,11.50,0,0,0
Yasir Shah,43685,4,0,19,2,4.75,0,0,0
Grant Elliott,44956,2,0,20,0,10.00,0,0,0
Hasan Ali,681305,4,0,32,1,8.00,0,0,1
Mohammad Asghar,654261,1,0,22,0,22.00,0,0,1
Mohammad Hafeez,41434,3,0,25,2,8.33,0,0,1
Shakib Al Hasan,56143,2,1,14,2,7.00,1,0,1
Wahab Riaz,43590,4,0,24,1,6.00,0,0,1
Shahid Afridi,42639,4,0,21,1,5.25,0,0,1
Daren Sammy,53115,2,0,11,1,5.50,0,0,1
