Team_1,Team_1_number,Team_2,Team_2_number,Winner_team,Winner_team_number,Margin,Ground,Ground_number,Match Date,Scorecard,Match_number,Match_Type
Mum Indians,335978.0,Supergiants,968721.0,Supergiants,968721.0,9 wickets,Mumbai,58324.0,"Apr 9, 2016",T20,980901.0,IPL
KKR,335971.0,Daredevils,335975.0,KKR,335971.0,9 wickets,Kolkata,57980.0,"Apr 10, 2016",T20,980903.0,IPL
Kings XI,335973.0,Guj Lions,968725.0,Guj Lions,968725.0,5 wickets,Mohali,57991.0,"Apr 11, 2016",T20,980905.0,IPL
RCB,335970.0,Sunrisers,628333.0,RCB,335970.0,45 runs,Bengaluru,57897.0,"Apr 12, 2016",T20,980907.0,IPL
KKR,335971.0,Mum Indians,335978.0,Mum Indians,335978.0,6 wickets,Kolkata,57980.0,"Apr 13, 2016",T20,980909.0,IPL
Guj Lions,968725.0,Supergiants,968721.0,Guj Lions,968725.0,7 wickets,Rajkot,377285.0,"Apr 14, 2016",T20,980911.0,IPL
Daredevils,335975.0,Kings XI,335973.0,Daredevils,335975.0,8 wickets,Delhi,58040.0,"Apr 15, 2016",T20,980913.0,IPL
Sunrisers,628333.0,KKR,335971.0,KKR,335971.0,8 wickets,Hyderabad (Deccan),58142.0,"Apr 16, 2016",T20,980915.0,IPL
Mum Indians,335978.0,Guj Lions,968725.0,Guj Lions,968725.0,3 wickets,Mumbai,58324.0,"Apr 16, 2016",T20,980917.0,IPL
Kings XI,335973.0,Supergiants,968721.0,Kings XI,335973.0,6 wickets,Mohali,57991.0,"Apr 17, 2016",T20,980919.0,IPL
RCB,335970.0,Daredevils,335975.0,Daredevils,335975.0,7 wickets,Bengaluru,57897.0,"Apr 17, 2016",T20,980921.0,IPL
Sunrisers,628333.0,Mum Indians,335978.0,Sunrisers,628333.0,7 wickets,Hyderabad (Deccan),58142.0,"Apr 18, 2016",T20,980923.0,IPL
Kings XI,335973.0,KKR,335971.0,KKR,335971.0,6 wickets,Mohali,57991.0,"Apr 19, 2016",T20,980925.0,IPL
Mum Indians,335978.0,RCB,335970.0,Mum Indians,335978.0,6 wickets,Mumbai,58324.0,"Apr 20, 2016",T20,980927.0,IPL
Guj Lions,968725.0,Sunrisers,628333.0,Sunrisers,628333.0,10 wickets,Rajkot,377285.0,"Apr 21, 2016",T20,980929.0,IPL
Supergiants,968721.0,RCB,335970.0,RCB,335970.0,13 runs,Pune,545380.0,"Apr 22, 2016",T20,980931.0,IPL
Daredevils,335975.0,Mum Indians,335978.0,Daredevils,335975.0,10 runs,Delhi,58040.0,"Apr 23, 2016",T20,980933.0,IPL
Sunrisers,628333.0,Kings XI,335973.0,Sunrisers,628333.0,5 wickets,Hyderabad (Deccan),58142.0,"Apr 23, 2016",T20,980935.0,IPL
Guj Lions,968725.0,RCB,335970.0,Guj Lions,968725.0,6 wickets,Rajkot,377285.0,"Apr 24, 2016",T20,980937.0,IPL
Supergiants,968721.0,KKR,335971.0,KKR,335971.0,2 wickets,Pune,545380.0,"Apr 24, 2016",T20,980939.0,IPL
Kings XI,335973.0,Mum Indians,335978.0,Mum Indians,335978.0,25 runs,Mohali,57991.0,"Apr 25, 2016",T20,980941.0,IPL
Sunrisers,628333.0,Supergiants,968721.0,Supergiants,968721.0,34 runs,Hyderabad (Deccan),58142.0,"Apr 26, 2016",T20,980943.0,IPL
Daredevils,335975.0,Guj Lions,968725.0,Guj Lions,968725.0,1 run,Delhi,58040.0,"Apr 27, 2016",T20,980945.0,IPL
Mum Indians,335978.0,KKR,335971.0,Mum Indians,335978.0,6 wickets,Mumbai,58324.0,"Apr 28, 2016",T20,980947.0,IPL
Supergiants,968721.0,Guj Lions,968725.0,Guj Lions,968725.0,3 wickets,Pune,545380.0,"Apr 29, 2016",T20,980949.0,IPL
Daredevils,335975.0,KKR,335971.0,Daredevils,335975.0,27 runs,Delhi,58040.0,"Apr 30, 2016",T20,980951.0,IPL
Sunrisers,628333.0,RCB,335970.0,Sunrisers,628333.0,15 runs,Hyderabad (Deccan),58142.0,"Apr 30, 2016",T20,980953.0,IPL
Guj Lions,968725.0,Kings XI,335973.0,Kings XI,335973.0,23 runs,Rajkot,377285.0,"May 1, 2016",T20,980955.0,IPL
Supergiants,968721.0,Mum Indians,335978.0,Mum Indians,335978.0,8 wickets,Pune,545380.0,"May 1, 2016",T20,980957.0,IPL
RCB,335970.0,KKR,335971.0,KKR,335971.0,5 wickets,Bengaluru,57897.0,"May 2, 2016",T20,980959.0,IPL
Guj Lions,968725.0,Daredevils,335975.0,Daredevils,335975.0,8 wickets,Rajkot,377285.0,"May 3, 2016",T20,980961.0,IPL
KKR,335971.0,Kings XI,335973.0,KKR,335971.0,7 runs,Kolkata,57980.0,"May 4, 2016",T20,980963.0,IPL
Daredevils,335975.0,Supergiants,968721.0,Supergiants,968721.0,7 wickets,Delhi,58040.0,"May 5, 2016",T20,980965.0,IPL
Sunrisers,628333.0,Guj Lions,968725.0,Sunrisers,628333.0,5 wickets,Hyderabad (Deccan),58142.0,"May 6, 2016",T20,980967.0,IPL
RCB,335970.0,Supergiants,968721.0,RCB,335970.0,7 wickets,Bengaluru,57897.0,"May 7, 2016",T20,980969.0,IPL
Kings XI,335973.0,Daredevils,335975.0,Kings XI,335973.0,9 runs,Mohali,57991.0,"May 7, 2016",T20,980971.0,IPL
Mum Indians,335978.0,Sunrisers,628333.0,Sunrisers,628333.0,85 runs,Visakhapatnam,58547.0,"May 8, 2016",T20,980973.0,IPL
